"","targ","part_id","task"
"607","alien17","blast_a_026","vsl"
"608","A","blast_a_027","lsl"
"609","3A","blast_a_027","tsl"
"610","alien24","blast_a_027","vsl"
"611","H","blast_a_028","lsl"
"612","ku","blast_a_028","ssl"
"613","3A","blast_a_028","tsl"
"614","alien20","blast_a_028","vsl"
"615","A","blast_a_030","lsl"
"616","ku","blast_a_030","ssl"
"617","2A","blast_a_030","tsl"
"618","alien13","blast_a_030","vsl"
"619","C","blast_a_032","lsl"
"620","tu","blast_a_032","ssl"
"621","2A","blast_a_032","tsl"
"622","alien17","blast_a_032","vsl"
"623","C","blast_a_035","lsl"
"624","tu","blast_a_035","ssl"
"625","2A","blast_a_035","tsl"
"626","alien13","blast_a_035","vsl"
"627","E","blast_a_037","lsl"
"628","ku","blast_a_037","ssl"
"629","3A","blast_a_037","tsl"
"630","A","blast_a_038","lsl"
"631","tu","blast_a_038","ssl"
"632","2A","blast_a_038","tsl"
"633","alien13","blast_a_038","vsl"
"634","C","blast_a_039","lsl"
"635","do","blast_a_039","ssl"
"636","3A","blast_a_039","tsl"
"637","alien24","blast_a_039","vsl"
"638","E","blast_a_040","lsl"
"639","pi","blast_a_040","ssl"
"640","3A","blast_a_040","tsl"
"641","alien17","blast_a_040","vsl"
"642","H","blast_a_041","lsl"
"643","ku","blast_a_041","ssl"
"644","C","blast_a_042","lsl"
"645","pi","blast_a_042","ssl"
"646","3A","blast_a_042","tsl"
"647","alien17","blast_a_042","vsl"
"648","tu","blast_a_043","ssl"
"649","2A","blast_a_043","tsl"
"650","alien20","blast_a_043","vsl"
"651","C","blast_a_044","lsl"
"652","do","blast_a_044","ssl"
"653","2A","blast_a_044","tsl"
"654","alien13","blast_a_044","vsl"
"655","C","blast_a_045","lsl"
"656","pi","blast_a_045","ssl"
"657","2A","blast_a_045","tsl"
"658","alien24","blast_a_045","vsl"
"659","A","blast_a_046","lsl"
"660","tu","blast_a_046","ssl"
"661","3A","blast_a_046","tsl"
"662","alien20","blast_a_046","vsl"
"663","E","blast_a_047","lsl"
"664","do","blast_a_047","ssl"
"665","2A","blast_a_047","tsl"
"666","alien20","blast_a_047","vsl"
"667","C","blast_a_048","lsl"
"668","tu","blast_a_048","ssl"
"669","2A","blast_a_048","tsl"
"670","alien20","blast_a_048","vsl"
"671","E","blast_a_049","lsl"
"672","pi","blast_a_049","ssl"
"673","3A","blast_a_049","tsl"
"674","alien17","blast_a_049","vsl"
"675","A","blast_a_050","lsl"
"676","pi","blast_a_050","ssl"
"677","3A","blast_a_050","tsl"
"678","alien13","blast_a_050","vsl"
"679","C","blast_a_051","lsl"
"680","ku","blast_a_051","ssl"
"681","3A","blast_a_051","tsl"
"682","ku","blast_a_052","ssl"
"683","2A","blast_a_052","tsl"
"684","alien24","blast_a_052","vsl"
"685","A","blast_a_001","lsl"
"686","A","blast_a_002","lsl"
"687","C","blast_a_003","lsl"
"688","C","blast_a_004","lsl"
"689","E","blast_a_005","lsl"
"690","E","blast_a_006","lsl"
"691","H","blast_a_007","lsl"
"692","E","blast_a_008","lsl"
"693","A","blast_a_009","lsl"
"694","E","blast_a_010","lsl"
"695","E","blast_a_011","lsl"
"696","E","blast_a_013","lsl"
"697","H","blast_a_014","lsl"
"698","E","blast_a_015","lsl"
"699","C","blast_a_016","lsl"
"700","H","blast_a_017","lsl"
"701","C","blast_a_018","lsl"
"702","A","blast_a_019","lsl"
"703","C","blast_a_020","lsl"
"704","C","blast_a_021","lsl"
"705","C","blast_a_022","lsl"
"706","E","blast_a_023","lsl"
"707","E","blast_a_024","lsl"
