"","id","task","trial","reaction_time","targ_index","group","gender","age_at_web_month","age_at_web_year","hit_trial_n","sl_aprime","domain","modality","scaled_rt","mean_rt","rt_slope_raw","initial_rt"
"549","blast_a_006","tsl",169,270.666666666671,12,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",-0.126844683159872,288.341,1.531,288.341
"550","blast_a_006","tsl",205,-291.999999999983,15,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",-4.1649562982827,288.341,1.531,288.341
"551","blast_a_006","tsl",220,318.666666666672,16,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",0.217638772158678,288.341,1.531,288.341
"552","blast_a_006","tsl",292,300.000000000011,22,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",0.0836729839792856,288.341,1.531,288.341
"553","blast_a_006","tsl",145,331.999999999994,10,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",0.313328620858192,288.341,1.531,288.341
"554","blast_a_006","tsl",160,300.000000000011,11,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",0.0836729839792856,288.341,1.531,288.341
"555","blast_a_006","tsl",325,300.000000000011,25,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",0.0836729839792856,288.341,1.531,288.341
"556","blast_a_006","tsl",181,270.666666666671,13,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",-0.126844683159872,288.341,1.531,288.341
"557","blast_a_006","tsl",193,300.000000000011,14,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",0.0836729839792856,288.341,1.531,288.341
"558","blast_a_006","tsl",364,299.999999999983,28,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",0.0836729839790844,288.341,1.531,288.341
"559","blast_a_006","tsl",232,348.000000000013,17,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",0.428156439297843,288.341,1.531,288.341
"560","blast_a_006","tsl",244,310.666666666663,18,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",0.160224862938856,288.341,1.531,288.341
"561","blast_a_006","tsl",256,300.000000000011,19,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",0.0836729839792856,288.341,1.531,288.341
"562","blast_a_006","tsl",268,350.666666666655,20,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",0.447294409037584,288.341,1.531,288.341
"563","blast_a_006","tsl",274,329.333333333352,21,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",0.29419065111845,288.341,1.531,288.341
"564","blast_a_006","tsl",112,260.000000000005,8,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",-0.203396562119543,288.341,1.531,288.341
"565","blast_a_006","tsl",304,270.666666666671,23,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",-0.126844683159872,288.341,1.531,288.341
"566","blast_a_006","tsl",313,310.666666666663,24,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",0.160224862938856,288.341,1.531,288.341
"567","blast_a_006","tsl",463,289.333333333275,37,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",0.00712110501911151,288.341,1.531,288.341
"568","blast_a_006","tsl",337,300.000000000011,26,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",0.0836729839792856,288.341,1.531,288.341
"569","blast_a_006","tsl",355,340.000000000003,27,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",0.370742530078014,288.341,1.531,288.341
"570","blast_a_006","tsl",505,321.333333333314,40,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",0.23677674189842,288.341,1.531,288.341
"571","blast_a_006","tsl",43,390.666666666671,2,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",0.734363955136485,288.341,1.531,288.341
"572","blast_a_006","tsl",61,299.999999999997,3,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",0.0836729839791848,288.341,1.531,288.341
"573","blast_a_006","tsl",70,289.333333333346,4,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",0.00712110501962104,288.341,1.531,288.341
"574","blast_a_006","tsl",79,340.000000000003,5,"adult","M",251,20.9166666666667,43,0.923436857260387,"nonling","auditory",0.370742530078014,288.341,1.531,288.341
