soundFile,word,location,repetition,trialnum,condition,fam_trials_loop.thisRepN,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,sound_block_key_resp.keys,sound_block_key_resp.rt,tone_block_key_resp.keys,tone_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date,
2C.wav,4,3,2,27,S,,,,,0,26,26,26,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
1A.wav,2,1,3,28,S,,,,,0,27,27,27,,,4,0.375670909882,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
1B.wav,2,2,3,29,S,,,,,0,28,28,28,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
1C.wav,2,3,3,30,S,,,,,0,29,29,29,,,4,0.238625049591,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
2A.wav,4,1,3,31,S,,,,,0,30,30,30,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
2B.wav,4,2,3,32,S,,,,,0,31,31,31,,,4,0.118856906891,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
2C.wav,4,3,3,33,S,,,,,0,32,32,32,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
4A.wav,3,1,3,34,S,,,,,0,33,33,33,,,4,0.289388895035,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
4B.wav,3,2,3,35,S,,,,,0,34,34,34,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
4C.wav,3,3,3,36,S,,,,,0,35,35,35,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
3A.wav,1,1,4,37,S,,,,,0,36,36,36,,,4,0.24200296402,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
3B.wav,1,2,4,38,S,,,,,0,37,37,37,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
3C.wav,1,3,4,39,S,,,,,0,38,38,38,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
4A.wav,3,1,4,40,S,,,,,0,39,39,39,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
4B.wav,3,2,4,41,S,,,,,0,40,40,40,,,4,0.270781993866,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
4C.wav,3,3,4,42,S,,,,,0,41,41,41,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
3A.wav,1,1,5,43,S,,,,,0,42,42,42,,,4,0.289331912994,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
3B.wav,1,2,5,44,S,,,,,0,43,43,43,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
3C.wav,1,3,5,45,S,,,,,0,44,44,44,,,4,0.452971935272,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
2A.wav,4,1,4,46,S,,,,,0,45,45,45,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
2B.wav,4,2,4,47,S,,,,,0,46,46,46,,,4,0.325762033463,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
2C.wav,4,3,4,48,S,,,,,0,47,47,47,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
1A.wav,2,1,4,49,S,,,,,0,48,48,48,,,4,0.252727031708,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
1B.wav,2,2,4,50,S,,,,,0,49,49,49,,,None,,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
1C.wav,2,3,4,51,S,,,,,0,50,50,50,,,4,0.0514409542084,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
4A.wav,3,1,5,52,S,,,,,0,51,51,51,,,4,0.322545051575,pu,3,blast_a_022,61.0810000015,1C,auditory,2018_Sep_24_1812,
