word,location,image,repetition,trialnum,condition,corrAns,image3,image2,image1,image6,image5,image4,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,forced_test_1_block.thisRepN,forced_test_1_block.thisTrialN,forced_test_1_block.thisN,forced_test_1_block.thisIndex,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,question_key_resp.keys,question_key_resp.corr,question_key_resp.rt,Run,vtarget,PartID,ltarget,frameRate,expName,date,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
0,0,blank.png,0,0,B,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,None,,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
4,1,Alien7.bmp,21,241,S,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
4,2,Alien8.bmp,21,242,S,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
4,3,Alien9.bmp,21,243,S,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
1,1,Alien4.bmp,21,244,S,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
1,2,Alien5.bmp,21,245,S,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
1,3,Alien6.bmp,21,246,S,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,3,0.416923353914,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
3,1,Alien10.bmp,21,247,S,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
3,2,Alien11.bmp,21,248,S,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
3,3,Alien12.bmp,21,249,S,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
4,1,Alien7.bmp,22,250,S,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
4,2,Alien8.bmp,22,251,S,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
4,3,Alien9.bmp,22,252,S,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
1,1,Alien4.bmp,22,253,S,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
1,2,Alien5.bmp,22,254,S,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
1,3,Alien6.bmp,22,255,S,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,3,0.492072680034,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
3,1,Alien10.bmp,22,256,S,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
3,2,Alien11.bmp,22,257,S,,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
3,3,Alien12.bmp,22,258,S,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
2,1,Alien1.bmp,21,259,S,,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
2,2,Alien2.bmp,21,260,S,,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
2,3,Alien3.bmp,21,261,S,,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
4,1,Alien7.bmp,23,262,S,,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
4,2,Alien8.bmp,23,263,S,,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
4,3,Alien9.bmp,23,264,S,,,,,,,,,,,,,,,,0,23,23,23,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
2,1,Alien1.bmp,22,265,S,,,,,,,,,,,,,,,,0,24,24,24,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
2,2,Alien2.bmp,22,266,S,,,,,,,,,,,,,,,,0,25,25,25,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
2,3,Alien3.bmp,22,267,S,,,,,,,,,,,,,,,,0,26,26,26,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
3,1,Alien10.bmp,23,268,S,,,,,,,,,,,,,,,,0,27,27,27,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
3,2,Alien11.bmp,23,269,S,,,,,,,,,,,,,,,,0,28,28,28,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
3,3,Alien12.bmp,23,270,S,,,,,,,,,,,,,,,,0,29,29,29,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
1,1,Alien4.bmp,23,271,S,,,,,,,,,,,,,,,,0,30,30,30,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
1,2,Alien5.bmp,23,272,S,,,,,,,,,,,,,,,,0,31,31,31,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
1,3,Alien6.bmp,23,273,S,,,,,,,,,,,,,,,,0,32,32,32,,,,,,,,3,0.333636361291,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
2,1,Alien1.bmp,23,274,S,,,,,,,,,,,,,,,,0,33,33,33,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
2,2,Alien2.bmp,23,275,S,,,,,,,,,,,,,,,,0,34,34,34,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
2,3,Alien3.bmp,23,276,S,,,,,,,,,,,,,,,,0,35,35,35,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
3,1,Alien10.bmp,24,277,S,,,,,,,,,,,,,,,,0,36,36,36,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
3,2,Alien11.bmp,24,278,S,,,,,,,,,,,,,,,,0,37,37,37,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
3,3,Alien12.bmp,24,279,S,,,,,,,,,,,,,,,,0,38,38,38,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
4,1,Alien7.bmp,24,280,S,,,,,,,,,,,,,,,,0,39,39,39,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
4,2,Alien8.bmp,24,281,S,,,,,,,,,,,,,,,,0,40,40,40,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
4,3,Alien9.bmp,24,282,S,,,,,,,,,,,,,,,,0,41,41,41,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
1,1,Alien4.bmp,24,283,S,,,,,,,,,,,,,,,,0,42,42,42,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
1,2,Alien5.bmp,24,284,S,,,,,,,,,,,,,,,,0,43,43,43,,,,,,,,None,,,,,4,6,f008,H,125.579635084,visual,2018_Jan_30_1546,
