soundFile,word,location,repetition,trialnum,condition,corrAns,soundFile3,soundFile2,soundFile1,soundFile6,soundFile5,soundFile4,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,fam_trials_loop.thisRepN,twoAFC_1.thisRepN,twoAFC_1.thisTrialN,twoAFC_1.thisN,twoAFC_1.thisIndex,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,fam_trials_loop.thisTrialN,fam_trials_loop.thisN,fam_trials_loop.thisIndex,structured_block_key_resp.keys,structured_block_key_resp.rt,random_block_key_resp.keys,random_block_key_resp.rt,starget,Run,PartID,frameRate,ttarget,expName,date
1B.wav,2,2,34,410,S,,,,,,,,0,1,1,1,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
1C.wav,2,3,34,411,S,,,,,,,,0,2,2,2,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
3A.wav,1,1,36,412,S,,,,,,,,0,3,3,3,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
3B.wav,1,2,36,413,S,,,,,,,,0,4,4,4,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
3C.wav,1,3,36,414,S,,,,,,,,0,5,5,5,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
1A.wav,2,1,35,415,S,,,,,,,,0,6,6,6,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
1B.wav,2,2,35,416,S,,,,,,,,0,7,7,7,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
1C.wav,2,3,35,417,S,,,,,,,,0,8,8,8,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
2A.wav,4,1,35,418,S,,,,,,,,0,9,9,9,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
2B.wav,4,2,35,419,S,,,,,,,,0,10,10,10,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
2C.wav,4,3,35,420,S,,,,,,,,0,11,11,11,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
4A.wav,3,1,35,421,S,,,,,,,,0,12,12,12,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
4B.wav,3,2,35,422,S,,,,,,,,0,13,13,13,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
4C.wav,3,3,35,423,S,,,,,,,,0,14,14,14,,,,,,,,,,,,None,,,,bi,6,2,119.9808884,1C,auditory,2017_Oct_24_1626
