Subject,Session,AgeMonth,AgeYears,gender,Group,languages,SessionDate,Block,Procedure[Block],Trial,answer.ACC,answer.CRESP,answer.OnsetToOnsetTime,answer.RESP,answer.RT,answer.RTTime,correctAnswer,correctKeyboard,nonword,Procedure[Trial],word
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,19,1,p,0,p,373,241582,kimuga,p,tomubi,SegmentationProc,kimuga
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,20,1,p,0,p,1112,246214,nalobi,p,kibeno,SegmentationProc,nalobi
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,21,1,p,0,p,430,250158,gedino,p,gekalu,SegmentationProc,gedino
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,22,1,q,0,q,1724,255398,tobelu,q,kibeno,SegmentationProc,tobelu
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,23,1,q,0,q,436,259350,nalobi,q,tomubi,SegmentationProc,nalobi
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,24,0,p,0,q,596,263470,kimuga,p,nadime,SegmentationProc,kimuga
105,1,4,31,male,1,hebrew,11/6/17,2,SegmentationTest,25,0,p,0,q,572,267566,dukame,p,duloga,SegmentationProc,dukame
106,1,9,24,female,1,hebrew,11/7/17,1,exposureProc,1,,,,,,,,,,SoundExposure,
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,1,1,q,0,q,798,183143,dukame,q,gekalu,SegmentationProc,dukame
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,2,1,q,0,q,581,187247,nalobi,q,nadime,SegmentationProc,nalobi
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,3,1,p,0,p,862,191631,kimuga,p,duloga,SegmentationProc,kimuga
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,4,0,q,0,p,915,196071,tobelu,q,tomubi,SegmentationProc,tobelu
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,5,0,p,0,q,1221,200814,gedino,p,kibeno,SegmentationProc,gedino
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,6,1,p,0,p,675,205006,nalobi,p,duloga,SegmentationProc,nalobi
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,7,1,q,0,q,368,208886,kimuga,q,gekalu,SegmentationProc,kimuga
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,8,1,p,0,p,1842,214246,dukame,p,kibeno,SegmentationProc,dukame
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,9,0,p,0,q,1119,218878,gedino,p,tomubi,SegmentationProc,gedino
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,10,1,q,0,q,1450,223846,tobelu,q,nadime,SegmentationProc,tobelu
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,11,1,q,0,q,447,227814,nalobi,q,gekalu,SegmentationProc,nalobi
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,12,0,q,0,p,477,231814,dukame,q,tomubi,SegmentationProc,dukame
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,13,1,q,0,q,345,235686,kimuga,q,kibeno,SegmentationProc,kimuga
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,14,0,p,0,q,579,239790,gedino,p,nadime,SegmentationProc,gedino
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,15,0,p,0,q,612,243926,tobelu,p,duloga,SegmentationProc,tobelu
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,16,1,q,0,q,1043,248494,dukame,q,nadime,SegmentationProc,dukame
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,17,1,q,0,q,1041,253046,tobelu,q,gekalu,SegmentationProc,tobelu
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,18,0,q,0,p,655,257214,gedino,q,duloga,SegmentationProc,gedino
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,19,1,p,0,p,117,260846,kimuga,p,tomubi,SegmentationProc,kimuga
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,20,1,p,0,p,1393,265758,nalobi,p,kibeno,SegmentationProc,nalobi
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,21,1,p,0,p,320,269590,gedino,p,gekalu,SegmentationProc,gedino
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,22,1,q,0,q,2684,275790,tobelu,q,kibeno,SegmentationProc,tobelu
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,23,1,q,0,q,949,280261,nalobi,q,tomubi,SegmentationProc,nalobi
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,24,1,p,0,p,607,284389,kimuga,p,nadime,SegmentationProc,kimuga
106,1,9,24,female,1,hebrew,11/7/17,2,SegmentationTest,25,0,p,0,q,1096,288998,dukame,p,duloga,SegmentationProc,dukame
107,1,11,22,female,1,hebrew,11/9/17,1,exposureProc,1,,,,,,,,,,SoundExposure,
107,1,11,22,female,1,hebrew,11/9/17,2,SegmentationTest,1,1,p,0,p,1964,208944,gedino,p,kibeno,SegmentationProc,gedino
107,1,11,22,female,1,hebrew,11/9/17,2,SegmentationTest,2,1,q,0,q,2524,214992,dukame,q,gekalu,SegmentationProc,dukame
107,1,11,22,female,1,hebrew,11/9/17,2,SegmentationTest,3,0,p,0,q,429,218936,kimuga,p,duloga,SegmentationProc,kimuga
107,1,11,22,female,1,hebrew,11/9/17,2,SegmentationTest,4,1,q,0,q,508,222968,tobelu,q,tomubi,SegmentationProc,tobelu
107,1,11,22,female,1,hebrew,11/9/17,2,SegmentationTest,5,1,q,0,q,872,227352,nalobi,q,nadime,SegmentationProc,nalobi
107,1,11,22,female,1,hebrew,11/9/17,2,SegmentationTest,6,1,q,0,q,1845,232712,kimuga,q,gekalu,SegmentationProc,kimuga
107,1,11,22,female,1,hebrew,11/9/17,2,SegmentationTest,7,1,p,0,p,737,236976,dukame,p,kibeno,SegmentationProc,dukame
107,1,11,22,female,1,hebrew,11/9/17,2,SegmentationTest,8,1,p,0,p,564,241056,gedino,p,tomubi,SegmentationProc,gedino
107,1,11,22,female,1,hebrew,11/9/17,2,SegmentationTest,9,0,q,0,p,1405,245984,tobelu,q,nadime,SegmentationProc,tobelu
107,1,11,22,female,1,hebrew,11/9/17,2,SegmentationTest,10,1,p,0,p,724,250224,nalobi,p,duloga,SegmentationProc,nalobi
107,1,11,22,female,1,hebrew,11/9/17,2,SegmentationTest,11,0,q,0,p,5030,258767,dukame,q,tomubi,SegmentationProc,dukame
107,1,11,22,female,1,hebrew,11/9/17,2,SegmentationTest,12,1,q,0,q,377,262671,kimuga,q,kibeno,SegmentationProc,kimuga
107,1,11,22,female,1,hebrew,11/9/17,2,SegmentationTest,13,1,p,0,p,361,266559,gedino,p,nadime,SegmentationProc,gedino
107,1,11,22,female,1,hebrew,11/9/17,2,SegmentationTest,14,0,p,0,q,675,270759,tobelu,p,duloga,SegmentationProc,tobelu
107,1,11,22,female,1,hebrew,11/9/17,2,SegmentationTest,15,1,q,0,q,336,274607,nalobi,q,gekalu,SegmentationProc,nalobi
107,1,11,22,female,1,hebrew,11/9/17,2,SegmentationTest,16,1,q,0,q,274,278399,dukame,q,nadime,SegmentationProc,dukame
107,1,11,22,female,1,hebrew,11/9/17,2,SegmentationTest,17,1,q,0,q,392,282303,tobelu,q,gekalu,SegmentationProc,tobelu
107,1,11,22,female,1,hebrew,11/9/17,2,SegmentationTest,18,1,q,0,q,345,286159,gedino,q,duloga,SegmentationProc,gedino
107,1,11,22,female,1,hebrew,11/9/17,2,SegmentationTest,19,0,p,0,q,299,289983,kimuga,p,tomubi,SegmentationProc,kimuga
107,1,11,22,female,1,hebrew,11/9/17,2,SegmentationTest,20,1,p,0,p,151,293655,nalobi,p,kibeno,SegmentationProc,nalobi
107,1,11,22,female,1,hebrew,11/9/17,2,SegmentationTest,21,1,p,0,p,153,297327,gedino,p,gekalu,SegmentationProc,gedino
107,1,11,22,female,1,hebrew,11/9/17,2,SegmentationTest,22,1,q,0,q,291,301135,tobelu,q,kibeno,SegmentationProc,tobelu
107,1,11,22,female,1,hebrew,11/9/17,2,SegmentationTest,23,1,q,0,q,288,304935,nalobi,q,tomubi,SegmentationProc,nalobi
