Subject,Session,AgeMonth,AgeYears,gender,Group,languages,SessionDate,Block,Procedure[Block],Trial,answer.ACC,answer.CRESP,answer.OnsetToOnsetTime,answer.RESP,answer.RT,answer.RTTime,correctAnswer,correctKeyboard,nonword,Procedure[Trial],word
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,21,1,p,0,p,548,364971,gedino,p,gekalu,SegmentationProc,gedino
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,22,1,q,0,q,638,369131,tobelu,q,kibeno,SegmentationProc,tobelu
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,23,1,q,0,q,581,373227,nalobi,q,tomubi,SegmentationProc,nalobi
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,24,1,p,0,p,733,377483,kimuga,p,nadime,SegmentationProc,kimuga
205,2,5,31,male,1,hebrew,01-21-2018,2,SegmentationTest,25,0,p,0,q,680,381683,dukame,p,duloga,SegmentationProc,dukame
206,1,11,24,female,1,hebrew,01-14-2018,1,exposureProc,1,,,,,,,,,,SoundExposure,
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,1,0,q,0,p,3883,203168,tobelu,q,tomubi,SegmentationProc,tobelu
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,2,1,q,0,q,1109,207800,nalobi,q,nadime,SegmentationProc,nalobi
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,3,1,q,0,q,1344,212656,dukame,q,gekalu,SegmentationProc,dukame
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,4,1,p,0,p,1274,217456,kimuga,p,duloga,SegmentationProc,kimuga
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,5,0,p,0,q,2062,223032,gedino,p,kibeno,SegmentationProc,gedino
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,6,0,p,0,q,1538,228096,nalobi,p,duloga,SegmentationProc,nalobi
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,7,1,q,0,q,356,231968,kimuga,q,gekalu,SegmentationProc,kimuga
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,8,1,p,0,p,1902,237384,dukame,p,kibeno,SegmentationProc,dukame
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,9,1,p,0,p,393,241296,gedino,p,tomubi,SegmentationProc,gedino
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,10,1,q,0,q,1513,246320,tobelu,q,nadime,SegmentationProc,tobelu
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,11,1,q,0,q,716,250560,nalobi,q,gekalu,SegmentationProc,nalobi
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,12,0,q,0,p,1438,255519,dukame,q,tomubi,SegmentationProc,dukame
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,13,1,q,0,q,211,259247,kimuga,q,kibeno,SegmentationProc,kimuga
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,14,1,p,0,p,1859,264631,gedino,p,nadime,SegmentationProc,gedino
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,15,0,p,0,q,424,268567,tobelu,p,duloga,SegmentationProc,tobelu
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,16,0,q,0,p,1439,273519,dukame,q,nadime,SegmentationProc,dukame
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,17,1,q,0,q,925,277959,tobelu,q,gekalu,SegmentationProc,tobelu
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,18,0,q,0,p,1456,282927,gedino,q,duloga,SegmentationProc,gedino
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,19,1,p,0,p,989,287431,kimuga,p,tomubi,SegmentationProc,kimuga
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,20,1,p,0,p,893,291839,nalobi,p,kibeno,SegmentationProc,nalobi
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,21,1,p,0,p,1193,296543,gedino,p,gekalu,SegmentationProc,gedino
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,22,1,q,0,q,2393,302447,tobelu,q,kibeno,SegmentationProc,tobelu
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,23,0,q,0,p,2056,308015,nalobi,q,tomubi,SegmentationProc,nalobi
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,24,1,p,0,p,516,312046,kimuga,p,nadime,SegmentationProc,kimuga
206,2,11,24,female,1,hebrew,01-14-2018,2,SegmentationTest,25,0,p,0,q,2423,317990,dukame,p,duloga,SegmentationProc,dukame
207,1,11,22,female,1,hebrew,01/07/2018,1,exposureProc,1,,,,,,,,,,SoundExposure,
207,2,11,22,female,1,hebrew,01/07/2018,2,SegmentationTest,1,1,p,0,p,465,179767,kimuga,p,duloga,SegmentationProc,kimuga
207,2,11,22,female,1,hebrew,01/07/2018,2,SegmentationTest,2,1,q,0,q,654,183943,tobelu,q,tomubi,SegmentationProc,tobelu
207,2,11,22,female,1,hebrew,01/07/2018,2,SegmentationTest,3,1,q,0,q,676,188135,nalobi,q,nadime,SegmentationProc,nalobi
207,2,11,22,female,1,hebrew,01/07/2018,2,SegmentationTest,4,1,p,0,p,481,192127,gedino,p,kibeno,SegmentationProc,gedino
207,2,11,22,female,1,hebrew,01/07/2018,2,SegmentationTest,5,1,q,0,q,605,196254,dukame,q,gekalu,SegmentationProc,dukame
207,2,11,22,female,1,hebrew,01/07/2018,2,SegmentationTest,6,1,p,0,p,429,200198,nalobi,p,duloga,SegmentationProc,nalobi
207,2,11,22,female,1,hebrew,01/07/2018,2,SegmentationTest,7,0,q,0,p,827,204550,kimuga,q,gekalu,SegmentationProc,kimuga
207,2,11,22,female,1,hebrew,01/07/2018,2,SegmentationTest,8,1,p,0,p,1762,209838,dukame,p,kibeno,SegmentationProc,dukame
207,2,11,22,female,1,hebrew,01/07/2018,2,SegmentationTest,9,1,p,0,p,594,213958,gedino,p,tomubi,SegmentationProc,gedino
207,2,11,22,female,1,hebrew,01/07/2018,2,SegmentationTest,10,1,q,0,q,754,218238,tobelu,q,nadime,SegmentationProc,tobelu
207,2,11,22,female,1,hebrew,01/07/2018,2,SegmentationTest,11,1,q,0,q,603,222358,nalobi,q,gekalu,SegmentationProc,nalobi
207,2,11,22,female,1,hebrew,01/07/2018,2,SegmentationTest,12,0,q,0,p,4755,230630,dukame,q,tomubi,SegmentationProc,dukame
207,2,11,22,female,1,hebrew,01/07/2018,2,SegmentationTest,13,0,q,0,p,193,234342,kimuga,q,kibeno,SegmentationProc,kimuga
