cond,sound,speaker,trial,eventcode,order
s,ba,e,46,115,795
s,ba,e,27,115,796
s,ba,e,39,115,797
sd,da,e,49,214,798
s,ba,e,48,115,799
s,ba,e,43,115,800
s,ba,e,33,115,801
s,ba,e,23,115,802
s,ba,e,17,115,803
s,ba,e,24,115,804
sd,da,e,29,214,805
s,ba,e,42,115,806
s,ba,e,6,115,807
s,ba,e,32,115,808
s,ba,e,45,115,809
s,ba,e,32,115,810
bd,ba,s,29,124,811
s,ba,e,7,115,812
s,ba,e,40,115,813
s,ba,e,15,115,814
s,ba,e,36,115,815
bd,ba,s,15,124,816
s,ba,e,14,115,817
s,ba,e,16,115,818
s,ba,e,13,115,819
s,ba,e,16,115,820
s,ba,e,18,115,821
s,ba,e,13,115,822
s,ba,e,22,115,823
sd,da,e,7,214,824
s,ba,e,7,115,825
s,ba,e,40,115,826
s,ba,e,17,115,827
s,ba,e,45,115,828
s,ba,e,34,115,829
s,ba,e,41,115,830
sd,da,e,43,214,831
s,ba,e,21,115,832
s,ba,e,45,115,833
s,ba,e,1,115,834
s,ba,e,29,115,835
s,ba,e,30,115,836
s,ba,e,30,115,837
bd,ba,s,6,124,838
s,ba,e,44,115,839
s,ba,e,17,115,840
s,ba,e,12,115,841
s,ba,e,3,115,842
s,ba,e,23,115,843
sd,da,e,0,214,844
s,ba,e,39,115,845
s,ba,e,49,115,846
s,ba,e,36,115,847
s,ba,e,38,115,848
bd,ba,s,36,124,849
s,ba,e,39,115,850
s,ba,e,30,115,851
s,ba,e,10,115,852
s,ba,e,40,115,853
s,ba,e,38,115,854
sd,da,e,24,214,855
s,ba,e,34,115,856
s,ba,e,49,115,857
s,ba,e,27,115,858
s,ba,e,32,115,859
s,ba,e,15,115,860
s,ba,e,36,115,861
bd,ba,s,44,124,862
s,ba,e,27,115,863
s,ba,e,40,115,864
s,ba,e,39,115,865
s,ba,e,35,115,866
sd,da,e,45,214,867
s,ba,e,43,115,868
s,ba,e,32,115,869
s,ba,e,16,115,870
s,ba,e,1,115,871
s,ba,e,46,115,872
bd,ba,s,45,124,873
s,ba,e,36,115,874
s,ba,e,33,115,875
s,ba,e,22,115,876
s,ba,e,1,115,877
s,ba,e,39,115,878
s,ba,e,48,115,879
s,ba,e,21,115,880
sd,da,e,38,214,881
s,ba,e,34,115,882
s,ba,e,4,115,883
s,ba,e,39,115,884
s,ba,e,24,115,885
sd,da,e,14,214,886
s,ba,e,6,115,887
s,ba,e,32,115,888
s,ba,e,49,115,889
s,ba,e,23,115,890
s,ba,e,36,115,891
s,ba,e,18,115,892
bd,ba,s,8,124,893
s,ba,e,3,115,894
s,ba,e,38,115,895
s,ba,e,18,115,896
s,ba,e,27,115,897
sd,da,e,9,214,898
s,ba,e,24,115,899
s,ba,e,14,115,900
s,ba,e,24,115,901
s,ba,e,2,115,902
s,ba,e,41,115,903
bd,ba,s,5,124,904
s,ba,e,0,115,905
s,ba,e,24,115,906
s,ba,e,9,115,907
s,ba,e,18,115,908
s,ba,e,25,115,909
s,ba,e,49,115,910
sd,da,e,28,214,911
s,ba,e,37,115,912
s,ba,e,27,115,913
s,ba,e,15,115,914
s,ba,e,3,115,915
s,ba,e,5,115,916
bd,ba,s,39,124,917
s,ba,e,3,115,918
s,ba,e,0,115,919
s,ba,e,39,115,920
s,ba,e,48,115,921
bd,ba,s,48,124,922
s,ba,e,47,115,923
s,ba,e,47,115,924
s,ba,e,39,115,925
s,ba,e,43,115,926
s,ba,e,8,115,927
s,ba,e,40,115,928
sd,da,e,16,214,929
s,ba,e,49,115,930
s,ba,e,16,115,931
bd,ba,s,36,124,932
s,ba,e,9,115,933
s,ba,e,7,115,934
s,ba,e,39,115,935
s,ba,e,28,115,936
bd,ba,s,2,124,937
s,ba,e,13,115,938
s,ba,e,32,115,939
s,ba,e,15,115,940
s,ba,e,14,115,941
s,ba,e,42,115,942
