word,location,image,repetition,trialnum,condition,l_block_trial_loop.thisRepN,l_block_trial_loop.thisTrialN,l_block_trial_loop.thisN,l_block_trial_loop.thisIndex,blank_block_trial_loop.thisRepN,blank_block_trial_loop.thisTrialN,blank_block_trial_loop.thisN,blank_block_trial_loop.thisIndex,v_block_trials.thisRepN,v_block_trials.thisTrialN,v_block_trials.thisN,v_block_trials.thisIndex,l_block_trial_key_resp.keys,l_block_trial_key_resp.rt,blank_block_trial_key_resp.keys,v_block_trial_key_resp.keys,v_block_trial_key_resp.rt,Run,vtarget,PartID,ltarget,frameRate,expName,date,
4,3,H.png,8,90,S,0,41,41,41,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
1,1,M.png,9,91,S,0,42,42,42,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
1,2,K.png,9,92,S,0,43,43,43,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
1,3,B.png,9,93,S,0,44,44,44,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
3,1,D.png,8,94,S,0,45,45,45,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
3,2,G.png,8,95,S,0,46,46,46,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
3,3,C.png,8,96,S,0,47,47,47,,,,,,,,,None,,,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,0,0,0,0,,,,,,,None,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,0,1,1,1,,,,,,,None,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,0,2,2,2,,,,,,,None,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,0,3,3,3,,,,,,,None,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,0,4,4,4,,,,,,,None,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,0,5,5,5,,,,,,,None,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,0,6,6,6,,,,,,,None,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
0,0,blank.png,0,0,B,,,,,0,7,7,7,,,,,,,None,,,1,3,f006,F,119.840025852,visual,2018_Jan_23_1432,
