11.0016 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?
13.9667 	EXP 	window1: blendMode = 'avg'
13.9751 	EXP 	window1: blendMode = 'avg'
13.9834 	EXP 	window1: blendMode = 'avg'
13.9917 	EXP 	window1: blendMode = 'avg'
14.0000 	EXP 	window1: blendMode = 'avg'
14.0083 	EXP 	window1: blendMode = 'avg'
14.0167 	EXP 	window1: blendMode = 'avg'
14.0250 	EXP 	window1: blendMode = 'avg'
14.0334 	EXP 	window1: blendMode = 'avg'
14.0418 	EXP 	window1: blendMode = 'avg'
14.0500 	EXP 	window1: blendMode = 'avg'
14.0584 	EXP 	window1: blendMode = 'avg'
14.0667 	EXP 	window1: blendMode = 'avg'
14.0750 	EXP 	window1: blendMode = 'avg'
14.0834 	EXP 	window1: blendMode = 'avg'
14.0917 	EXP 	window1: blendMode = 'avg'
14.1000 	EXP 	window1: blendMode = 'avg'
14.1084 	EXP 	window1: blendMode = 'avg'
14.1167 	EXP 	window1: blendMode = 'avg'
14.1250 	EXP 	window1: blendMode = 'avg'
14.1334 	EXP 	window1: blendMode = 'avg'
14.1417 	EXP 	window1: blendMode = 'avg'
14.1501 	EXP 	window1: blendMode = 'avg'
14.1584 	EXP 	window1: blendMode = 'avg'
14.1667 	EXP 	window1: blendMode = 'avg'
14.1751 	EXP 	window1: blendMode = 'avg'
14.1834 	EXP 	window1: blendMode = 'avg'
14.1917 	EXP 	window1: blendMode = 'avg'
14.2000 	DATA 	Keypress: 3
14.2003 	EXP 	window1: blendMode = 'avg'
14.2084 	EXP 	window1: blendMode = 'avg'
14.2167 	EXP 	window1: blendMode = 'avg'
14.2250 	EXP 	window1: blendMode = 'avg'
14.2334 	EXP 	window1: blendMode = 'avg'
14.2417 	EXP 	window1: blendMode = 'avg'
14.2500 	EXP 	window1: blendMode = 'avg'
14.2584 	EXP 	window1: blendMode = 'avg'
14.2667 	EXP 	window1: blendMode = 'avg'
14.2751 	EXP 	window1: blendMode = 'avg'
14.2834 	EXP 	window1: blendMode = 'avg'
14.2918 	EXP 	window1: blendMode = 'avg'
14.3001 	EXP 	window1: blendMode = 'avg'
14.3084 	EXP 	window1: blendMode = 'avg'
14.3167 	EXP 	window1: blendMode = 'avg'
14.3251 	EXP 	window1: blendMode = 'avg'
14.3334 	EXP 	window1: blendMode = 'avg'
14.3417 	EXP 	window1: blendMode = 'avg'
14.3502 	EXP 	window1: blendMode = 'avg'
14.3584 	EXP 	window1: blendMode = 'avg'
14.3667 	EXP 	window1: blendMode = 'avg'
14.3751 	EXP 	window1: blendMode = 'avg'
14.3834 	EXP 	window1: blendMode = 'avg'
14.3917 	EXP 	window1: blendMode = 'avg'
14.4001 	EXP 	window1: blendMode = 'avg'
14.4084 	EXP 	window1: blendMode = 'avg'
14.4167 	EXP 	window1: blendMode = 'avg'
14.4251 	EXP 	window1: blendMode = 'avg'
14.4334 	EXP 	window1: blendMode = 'avg'
14.4417 	EXP 	window1: blendMode = 'avg'
14.4501 	EXP 	window1: blendMode = 'avg'
14.4585 	EXP 	window1: blendMode = 'avg'
14.4669 	EXP 	window1: blendMode = 'avg'
